,title,model_family,downstream_application,omics_modality
689,CellPolaris: Transfer Learning for Gene Regulatory Network Construction to Guide Cell State Transitions.,multimodal_fusion,"perturbation_prediction, generation, multimodal_integration",scRNA-seq
690,Gene regulatory network inference with popInfer reveals the dynamic regulation of hematopoietic stem cell quiescence.,other_or_unclassified,trajectory_inference,scATAC-seq
691,Advancing Cardiovascular Research With Single-Cell and Spatial Transcriptomics.,multimodal_fusion,"cell_type_annotation, perturbation_prediction, batch_correction, generation, spatial_reconstruction","scRNA-seq, Spatial"
692,Pan-cancer multi-omics reveals DCAF7 as an immune-modulating prognostic driver and Wnt/β-catenin activator in hepatocellular carcinoma.,multimodal_fusion,"perturbation_prediction, biomarker_discovery, spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Methylation/Epigenomics"
693,Discovering Candidate Anti-Aging Perturbations Using a Foundation Model for Gene Expression.,perturbation_prediction,"cell_type_annotation, perturbation_prediction",scRNA-seq
694,Predicting the unseen: A diffusion-based debiasing framework for transcriptional response prediction at single-cell resolution.,variational_autoencoder,"perturbation_prediction, batch_correction, generation",scRNA-seq
695,Emergence of high-metastatic potentials and prediction of recurrence and metastasis.,perturbation_prediction,"perturbation_prediction, biomarker_discovery",scRNA-seq
696,VIP-OT: Dissecting Single-Cell Biochemical State Dynamics under Perturbation via Vibrational Painting and Optimal Transport.,perturbation_prediction,"cell_type_annotation, perturbation_prediction, trajectory_inference, multimodal_integration",unspecified
697,Mapping cis- and trans-regulatory target genes of human-specific deletions.,perturbation_prediction,"perturbation_prediction, trajectory_inference",scATAC-seq
698,Cell context-dependent in silico organelle localization in label-free microscopy images.,perturbation_prediction,"cell_type_annotation, perturbation_prediction, batch_correction, generation, multimodal_integration",unspecified
699,Subtype specific immune-metabolic reprogramming in preeclampsia revealed by multiomics and serum biomarkers.,multimodal_fusion,"cell_type_annotation, biomarker_discovery, spatial_reconstruction, multimodal_integration","scRNA-seq, Spatial"
700,PULSAR: a Foundation Model for Multi-scale and Multi-cellular Biology.,perturbation_prediction,"cell_type_annotation, perturbation_prediction, biomarker_discovery",unspecified
701,Single-cell disentangled representations for perturbation modeling and treatment effect estimation.,variational_autoencoder,"cell_type_annotation, perturbation_prediction, batch_correction",unspecified
702,PhenoProfiler: advancing phenotypic learning for image-based drug discovery.,perturbation_prediction,"cell_type_annotation, perturbation_prediction, batch_correction, generation",unspecified
703,Benchmarking algorithms for generalizable single-cell perturbation response prediction.,perturbation_prediction,perturbation_prediction,unspecified
704,Interpretable Thermodynamic Score-based Classification of Relaxation Excursions.,multimodal_fusion,"cell_type_annotation, perturbation_prediction, multimodal_integration",Protein/CITE-seq
705,SIDISH integrates single-cell and bulk transcriptomics to identify high-risk cells and guide precision therapeutics through in silico perturbation.,variational_autoencoder,"perturbation_prediction, biomarker_discovery, spatial_reconstruction","scRNA-seq, Spatial"
706,Integrated multi-Omics and network toxicology elucidate the multi-target mechanisms of environmental hormones in driving hepatocellular carcinoma.,graph_neural_network,"perturbation_prediction, biomarker_discovery, multimodal_integration","scRNA-seq, Protein/CITE-seq"
707,The IGVF catalog-from genetic variation to function.,perturbation_prediction,"perturbation_prediction, multimodal_integration",Protein/CITE-seq
708,scSemiPLC: a semi-supervised learning framework for annotating single-cell RNA-Seq data by generating pseudo-labels through clustering.,hybrid_symbolic_statistical,"cell_type_annotation, biomarker_discovery, generation",scRNA-seq
709,sc4D: spatio-temporal single-cell transcriptomics analysis through embedded optimal transport identifies joint glial response to Alzheimer's disease pathology.,variational_autoencoder,"perturbation_prediction, spatial_reconstruction","scRNA-seq, Spatial"
710,Inferring Gene Regulatory Networks From Single-Cell RNA Sequencing Data by Dual-Role Graph Contrastive Learning.,hybrid_symbolic_statistical,unspecified,scRNA-seq
711,Multimodal single cell analyses reveal gene networks of planarian stem cell differentiation.,multimodal_fusion,"cell_type_annotation, perturbation_prediction, multimodal_integration","scRNA-seq, scATAC-seq"
712,Biomechanical and inflammatory pathways underlying the genetic architecture of keratoconus: A genomic SEM study.,perturbation_prediction,"perturbation_prediction, biomarker_discovery, generation, multimodal_integration","scRNA-seq, Protein/CITE-seq"
713,Cell Type Specific Inference of Perturbations in Synaptic Communication with MultiNeuronChat.,perturbation_prediction,"cell_type_annotation, perturbation_prediction",scRNA-seq
714,Characterizing spatial functional microniches with SpaceTravLR.,spatial_omics,"perturbation_prediction, generation, spatial_reconstruction",Spatial
715,A self-organizing single-cell morphology circuit optimizes  predatory trap structure.,perturbation_prediction,perturbation_prediction,"scRNA-seq, Protein/CITE-seq"
716,VISTA-FISH: Video Imaging with Spatial-Temporal Analysis by Fluorescent In Situ Hybridization.,spatial_omics,"perturbation_prediction, spatial_reconstruction","scRNA-seq, Spatial"
717,Deep learning the dynamic regulatory sequence code of cardiac organoid differentiation.,multimodal_fusion,"batch_correction, trajectory_inference",scATAC-seq
718,"Cell state plasticity emerging from co-regulated, competitive, and configurable interactions within the AP-1 network.",perturbation_prediction,perturbation_prediction,unspecified
719,Adaptive resampling for improved machine learning in imbalanced single-cell datasets.,perturbation_prediction,"cell_type_annotation, perturbation_prediction",scRNA-seq
720,Scaling Large Language Models for Next-Generation Single-Cell Analysis.,perturbation_prediction,"perturbation_prediction, generation",scRNA-seq
721,Label-Free Longitudinal Imaging of Single Cell Drug Response with a 3D-Printed Cell Culture Platform.,multimodal_fusion,"cell_type_annotation, perturbation_prediction",unspecified
722,Gradient-aware modeling advances AI-driven prediction of genetic perturbation effects.,perturbation_prediction,"perturbation_prediction, generation",unspecified
723,Hybrid deep learning-mechanistic modeling of cellular dynamics from a spatiotemporal single-cell atlas.,variational_autoencoder,"perturbation_prediction, spatial_reconstruction",Spatial
724,"Simultaneous capture of single cell RNA-seq, ATAC-seq, and CRISPR perturbation enables multiomic screens to identify gene regulatory relationships.",perturbation_prediction,"perturbation_prediction, generation, multimodal_integration","scRNA-seq, scATAC-seq"
725,Decoding cell fate: integrated experimental and computational analysis at the single-cell level.,multimodal_fusion,"perturbation_prediction, generation, spatial_reconstruction, trajectory_inference, multimodal_integration",Spatial
726,Integrative Multi-Omics and Artificial Intelligence: A New Paradigm for Systems Biology.,multimodal_fusion,"perturbation_prediction, biomarker_discovery, batch_correction, generation, multimodal_integration","scRNA-seq, scATAC-seq, Protein/CITE-seq"
727,scCausalVI disentangles single-cell perturbation responses with causality-aware generative model.,multimodal_fusion,"cell_type_annotation, perturbation_prediction, biomarker_discovery, batch_correction",unspecified
728,A pre-trained large generative model for translating single-cell transcriptomes to proteomes.,multimodal_fusion,"cell_type_annotation, perturbation_prediction, batch_correction, generation, spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial"
729,PertAdapt: Unlocking Single-Cell Foundation Models for Genetic Perturbation Prediction via Condition-Sensitive Adaptation,transformer_masked_lm,"cell_type_annotation, perturbation_prediction, biomarker_discovery",scRNA-seq
730,found: Inferring cell-level perturbation from structured label noise in single-cell data,perturbation_prediction,"cell_type_annotation, perturbation_prediction, batch_correction",unspecified
731,GPerturb: Gaussian process modelling of single-cell perturbation data,perturbation_prediction,perturbation_prediction,unspecified
732,CycSeq: Leveraging Cyclic Data Generation for Accurate Perturbation Prediction in Single-Cell RNA-Seq,perturbation_prediction,"perturbation_prediction, generation, multimodal_integration",unspecified
733,Inference of heterogeneous effects in single-cell genetic perturbation screens,perturbation_prediction,perturbation_prediction,scRNA-seq
734,Link prediction of viral spike proteins and cell receptors using structural perturbation method,multimodal_fusion,"perturbation_prediction, multimodal_integration",Protein/CITE-seq
735,A Systematic Comparison of Single-Cell Perturbation Response Prediction Models,perturbation_prediction,"cell_type_annotation, perturbation_prediction, biomarker_discovery",unspecified
736,Benchmarking a foundational cell model for post-perturbation RNAseq prediction,perturbation_prediction,perturbation_prediction,unspecified
737,PertEval-scFM: Benchmarking Single-Cell Foundation Models for Perturbation Effect Prediction,perturbation_prediction,"perturbation_prediction, generation",unspecified
738,Fatecode: Cell fate regulator prediction using classification autoencoder perturbation,variational_autoencoder,"cell_type_annotation, perturbation_prediction, batch_correction, generation, trajectory_inference",scRNA-seq
739,Single-Cell Biclustering for Cell-Specific Transcriptomic Perturbation Detection in AD Progression,perturbation_prediction,perturbation_prediction,unspecified
740,Fast and scalable Wasserstein-1 neural optimal transport solver for single-cell perturbation prediction,perturbation_prediction,"perturbation_prediction, multimodal_integration",scRNA-seq
741,Departures: Distributional Transport for Single-Cell Perturbation Prediction with Neural Schrödinger Bridges,perturbation_prediction,"perturbation_prediction, batch_correction, multimodal_integration",unspecified
742,Causal Models and Prediction in Cell Line Perturbation Experiments,perturbation_prediction,"perturbation_prediction, multimodal_integration",Protein/CITE-seq
743,Evaluating Single-Cell Perturbation Response Models Is Far from Straightforward,perturbation_prediction,"perturbation_prediction, generation",unspecified
744,Prediction of single-cell chromatin compartments from single-cell chromosome structures by MaxComp,foundation_scale_pretraining,cell_type_annotation,scATAC-seq
745,A Single-cell Perturbation Landscape of Colonic Stem Cell Polarisation,perturbation_prediction,perturbation_prediction,unspecified
746,A guide to D-SPIN: constructing regulatory network models from single-cell RNA-seq perturbation data,multimodal_fusion,"perturbation_prediction, batch_correction",unspecified
747,Robust causal gene network estimation for large-scale single-cell perturbation screens using reduced control function,perturbation_prediction,"perturbation_prediction, generation",Protein/CITE-seq
748,Discovery of Phenotype-Associated Cell States using Single-Cell Phenotype Prediction Methods,other_or_unclassified,unspecified,unspecified
749,Modeling and predicting single-cell multi-gene perturbation responses with scLAMBDA,perturbation_prediction,perturbation_prediction,scRNA-seq
750,PerturBase: a comprehensive database for single-cell perturbation data analysis and visualization,multimodal_fusion,"perturbation_prediction, biomarker_discovery, batch_correction",unspecified
